kecamatan,kota_id,kecamatan_id
PENJARINGAN,1,1
CILINCING,1,2
KELAPA GADING,1,3
KOJA,1,4
KALIDERES,2,5
GROGOL PETAMBURAN,2,6
KEMBANGAN,2,7
CENGKARENG,2,8
KEBON JERUK,2,9
PALMERAH,2,10
CEMPAKA PUTIH,3,11
KEMAYORAN,3,12
SAWAH BESAR,3,13
CILANDAK,4,14
PANCORAN,4,15
PASAR MINGGU,4,16
TEBET,4,17
JAGAKARSA,4,18
MAMPANG PRAPATAN,4,19
PESANGGRAHAN,4,20
KEBAYORAN BARU,4,21
KEBAYORAN LAMA,4,22
CAKUNG,5,23
JATINEGARA,5,24
MAKASAR,5,25
KRAMAT JATI,5,26
PASAR REBO,5,27
MATRAMAN,5,28
PULOGADUNG,5,29
CIRACAS,5,30
