kelurahan,kecamatan_id,kelurahan_id
KAMAL MUARA,1,1
PENJARINGAN,1,2
KAPUK MUARA,1,3
PLUIT,1,4
KAMAL,5,5
TEGAL ALUR,5,6
JELAMBAR BARU,6,7
JELAMBAR,6,8
WIJAYA KUSUMA,6,9
KEMBANGAN UTARA,7,10
KAPUK,8,11
RAWA BUAYA,8,12
CENGKARENG TIMUR,8,13
DURI KOSAMBI,8,14
CENGKARENG BARAT,8,15
CEMPAKA PUTIH TIMUR,11,16
SERDANG,12,17
SUKAPURA,2,18
PEGANGSAAN DUA,3,19
TUGU SELATAN,4,20
DURI KEPA,9,21
JATI PULO,10,22
PONDOK LABU,14,23
CIPETE SELATAN,14,24
GANDARIA SELATAN,14,25
CILANDAK BARAT,14,26
PENGADEGAN,15,27
RAWAJATI,15,28
DUREN TIGA,15,29
KALIBATA,15,30
PEJATEN TIMUR,16,31
JATI PADANG,16,32
RAGUNAN,16,33
CILANDAK TIMUR,16,34
KEBON BARU,17,35
MANGGARAI,17,36
BUKIT DURI,17,37
LENTENG AGUNG,18,38
SRENGSENG SAWAH,18,39
BANGKA,19,40
RAWA TERATE,23,41
CAKUNG BARAT,23,42
JATINEGARA,23,43
PENGGILINGAN,23,44
CAKUNG TIMUR,23,45
KAMPUNG MELAYU,24,46
BIDARA CINA,24,47
CIPINANG MUARA,24,48
CIPINANG MELAYU,25,49
MAKASAR,25,50
CAWANG,26,51
CILILITAN,26,52
BALE KAMBANG,26,53
GEDONG,27,54
KEBON MANGGIS,28,55
ULUJAMI,20,56
RAWAMANGUN,29,57
PETOGOGAN,21,58
CIPETE UTARA,21,59
PONDOK PINANG,22,60
CIPULIR,22,61
GUNUNG SAHARI UTARA,13,62
RAMBUTAN,30,63
